ChampionName,WinRate18,PickRate18,BanRate18,TotalGames18,WinRate19,PickRate19,BanRate19,TotalGames19,Change
Ahri,50.02,8.12,3.81,1177248,51.26,8.02,3.52,1220170,Buff
Ivern,49.96,0.72,0.21,103000,50.98,0.84,11.07,127100,Buff
Vayne,49.83,10.26,10.06,1486404,50.9,11.23,0.21,1707632,Buff
Aphelios,46.36,2.95,3.85,426974,47.27,3.48,3.16,529329,Buff
Sivir,50.22,2.89,0.3,418822,50.84,3.28,0.34,498461,Buff
Rek'sai,50.13,1.77,1.08,256615,50.24,1.95,8.78,296043,Buff
Sylas,48.36,6.46,8.41,937448,48.38,7.09,1.2,1079186,Buff
Irelia,47.13,5.5,7.8,797008,47.35,5.87,9.24,892695,Buff
Udyr,51.11,1.88,0.44,271562,50.19,2.37,0.49,359974,Buff
Senna,49.14,9.33,9.59,1352310,49.09,8.83,8.11,1343792,Nerf
Azir,45.14,1.58,0.27,222550,44.73,1.25,8.58,190819,Nerf
Fiora,51.62,6.46,8.04,936902,51.57,6.86,0.23,1043504,Nerf
Lucian,49.2,13.09,7.23,1896996,48.43,11.57,9.64,1759255,Nerf
T. Fate,47.51,3.13,0.45,453734,46.72,2.64,0.34,401205,Nerf
Akali,48.34,12.35,24.55,1789090,46.98,10.83,24.7,1646688,Nerf
Caitlyn,51.37,25.02,51.26,3626376,49.77,20.94,42.51,3185592,Nerf
